0 予約データ(使用禁止
1 本番用
10 関数テスト１
11 関数テスト２
12 関数テスト３
1000000 [無強化] ステータス影響なし
1000001 [魔法] ステータス影響なし
1000002 [雷] ステータス影響なし
1000003 [炎] ステータス影響なし
1000004 [闇] ステータス影響なし
1000005 [毒] ステータス影響なし
1000006 [出血] ステータス影響なし
1000007 [粗製] ステータス影響なし
1000008 [魔力] ステータス影響なし
1000009 [深淵] ステータス影響なし
1007004 [触媒：闇] 触媒：理力S 闇
1007005 [毒] 触媒：理力S 闇
1007006 [出血] 触媒：理力S 闇
1007007 [粗製] 触媒：理力S 闇
1007008 [魔力] 触媒：理力S 闇
1007009 [深淵] 触媒：理力S 闇
1007010 [無強化] 触媒：理力S 闇
1007011 [触媒：魔法] 触媒：理力S 闇
1007012 [触媒：雷] 触媒：理力S 闇
1007013 [触媒：炎] 触媒：理力S 闇
1007014 [触媒：闇] 触媒：理力S 闇
1007015 [毒] 触媒：理力S 闇
1007016 [出血] 触媒：理力S 闇
1007017 [粗製] 触媒：理力S 闇
1007018 [魔力] 触媒：理力S 闇
1007019 [深淵] 触媒：理力S 闇
1008000 [無強化] 触媒：理力A 闇
1008001 [触媒：魔法] 触媒：理力A 闇
1008002 [触媒：雷] 触媒：理力A 闇
1008003 [触媒：炎] 触媒：理力A 闇
1008004 [触媒：闇] 触媒：理力A 闇
1008005 [毒] 触媒：理力A 闇
1008006 [出血] 触媒：理力A 闇
1008007 [粗製] 触媒：理力A 闇
1008008 [魔力] 触媒：理力A 闇
1008009 [深淵] 触媒：理力A 闇
1008010 [無強化] 触媒：理力A 雷C 闇
1008011 [触媒：魔法] 触媒：理力A 雷C 闇
1008012 [触媒：雷] 触媒：理力A 雷C 闇
1008013 [触媒：炎] 触媒：理力A 雷C 闇
1008014 [触媒：闇] 触媒：理力A 雷C 闇
1008015 [毒] 触媒：理力A 雷C 闇
1008016 [出血] 触媒：理力A 雷C 闇
1008017 [粗製] 触媒：理力A 雷C 闇
1008018 [魔力] 触媒：理力A 雷C 闇
1008019 [深淵] 触媒：理力A 雷C 闇
1008020 [無強化] 月光剣：理力A 闇
1008021 [月光：魔法] 月光剣：理力A 闇
1008022 [月光：雷] 月光剣：理力A 闇
1008023 [月光：炎] 月光剣：理力A 闇
1008024 [月光：闇] 月光剣：理力A 闇
1008025 [月光：毒] 月光剣：理力A 闇
1008026 [月光：出血] 月光剣：理力A 闇
1008027 [月光：粗製] 月光剣：理力A 闇
1008028 [月光：魔力] 月光剣：理力A 闇
1008029 [月光：深淵] 月光剣：理力A 闇
1009000 [無強化] 触媒：理力B 闇
1009001 [触媒：魔法] 触媒：理力B 闇
1009002 [触媒：雷] 触媒：理力B 闇
1009003 [触媒：炎] 触媒：理力B 闇
1009004 [触媒：闇] 触媒：理力B 闇
1009005 [毒] 触媒：理力B 闇
1009006 [出血] 触媒：理力B 闇
1009007 [粗製] 触媒：理力B 闇
1009008 [魔力] 触媒：理力B 闇
1009009 [深淵] 触媒：理力B 闇
1009010 [無強化] 触媒：理力B 闇
1009011 [触媒：魔法] 触媒：理力B 闇
1009012 [触媒：雷] 触媒：理力B 闇
1009013 [触媒：炎] 触媒：理力B 闇
1009014 [触媒：闇] 触媒：理力B 闇
1009015 [毒] 触媒：理力B 闇
1009016 [出血] 触媒：理力B 闇
1009017 [粗製] 触媒：理力B 闇
1009018 [魔力] 触媒：理力B 闇
1009019 [深淵] 触媒：理力B 闇
1009020 [無強化] 触媒：理力B 闇
1009021 [触媒：魔法] 触媒：理力B 闇
1009022 [触媒：雷] 触媒：理力B 闇
1009023 [触媒：炎] 触媒：理力B 闇
1009024 [触媒：闇] 触媒：理力B 闇
1009025 [毒] 触媒：理力B 闇
1009026 [出血] 触媒：理力B 闇
1009027 [粗製] 触媒：理力B 闇
1009028 [魔力] 触媒：理力B 闇
1009029 [深淵] 触媒：理力B 闇
1010000 [無強化] 触媒：理力C 闇
1010001 [触媒：魔法] 触媒：理力C 闇
1010002 [触媒：雷] 触媒：理力C 闇
1010003 [触媒：炎] 触媒：理力C 闇
1010004 [触媒：闇] 触媒：理力C 闇
1010005 [毒] 触媒：理力C 闇
1010006 [出血] 触媒：理力C 闇
1010007 [粗製] 触媒：理力C 闇
1010008 [魔力] 触媒：理力C 闇
1010009 [深淵] 触媒：理力C 闇
1010010 [無強化] 触媒：理力C 闇
1010011 [触媒：魔法] 触媒：理力C 闇
1010012 [触媒：雷] 触媒：理力C 闇
1010013 [触媒：炎] 触媒：理力C 闇
1010014 [触媒：闇] 触媒：理力C 闇
1010015 [毒] 触媒：理力C 闇
1010016 [出血] 触媒：理力C 闇
1010017 [粗製] 触媒：理力C 闇
1010018 [魔力] 触媒：理力C 闇
1010019 [深淵] 触媒：理力C 闇
1011000 [無強化] 触媒：理力D 闇
1011001 [触媒：魔法] 触媒：理力D 闇
1011002 [触媒：雷] 触媒：理力D 闇
1011003 [触媒：炎] 触媒：理力D 闇
1011004 [触媒：闇] 触媒：理力D 闇
1011005 [毒] 触媒：理力D 闇
1011006 [出血] 触媒：理力D 闇
1011007 [粗製] 触媒：理力D 闇
1011008 [魔力] 触媒：理力D 闇
1011009 [深淵] 触媒：理力D 闇
1012000 [無強化] 触媒：雷S 闇
1012001 [触媒：魔法] 触媒：雷S 闇
1012002 [触媒：雷] 触媒：雷S 闇
1012003 [触媒：炎] 触媒：雷S 闇
1012004 [触媒：闇] 触媒：雷S 闇
1012005 [毒] 触媒：雷S 闇
1012006 [出血] 触媒：雷S 闇
1012007 [粗製] 触媒：雷S 闇
1012008 [魔力] 触媒：雷S 闇
1012009 [深淵] 触媒：雷S 闇
1013000 [無強化] 王妃のベル：雷A 闇
1013001 [触媒：魔法] 王妃のベル：雷A 闇
1013002 [触媒：雷] 王妃のベル：雷A 闇
1013003 [触媒：炎] 王妃のベル：雷A 闇
1013004 [触媒：闇] 王妃のベル：雷A 闇
1013005 [毒] 王妃のベル：雷A 闇
1013006 [出血] 王妃のベル：雷A 闇
1013007 [粗製] 王妃のベル：雷A 闇
1013008 [魔力] 王妃のベル：雷A 闇
1013009 [深淵] 王妃のベル：雷A 闇
1013010 [無強化] 触媒：雷A 闇
1013011 [触媒：魔法] 触媒：雷A 闇
1013012 [触媒：雷] 触媒：雷A 闇
1013013 [触媒：炎] 触媒：雷A 闇
1013014 [触媒：闇] 触媒：雷A 闇
1013015 [毒] 触媒：雷A 闇
1013016 [出血] 触媒：雷A 闇
1013017 [粗製] 触媒：雷A 闇
1013018 [魔力] 触媒：雷A 闇
1013019 [深淵] 触媒：雷A 闇
1013020 [無強化] 触媒：雷A 闇
1013021 [触媒：魔法] 触媒：雷A 闇
1013022 [触媒：雷] 触媒：雷A 闇
1013023 [触媒：炎] 触媒：雷A 闇
1013024 [触媒：闇] 触媒：雷A 闇
1013025 [毒] 触媒：雷A 闇
1013026 [出血] 触媒：雷A 闇
1013027 [粗製] 触媒：雷A 闇
1013028 [魔力] 触媒：雷A 闇
1013029 [深淵] 触媒：雷A 闇
1014000 [無強化] 触媒：雷B 闇
1014001 [触媒：魔法] 触媒：雷B 闇
1014002 [触媒：雷] 触媒：雷B 闇
1014003 [触媒：炎] 触媒：雷B 闇
1014004 [触媒：闇] 触媒：雷B 闇
1014005 [毒] 触媒：雷B 闇
1014006 [出血] 触媒：雷B 闇
1014007 [粗製] 触媒：雷B 闇
1014008 [魔力] 触媒：雷B 闇
1014009 [深淵] 触媒：雷B 闇
1014010 [無強化] 触媒：雷B 闇
1014011 [触媒：魔法] 触媒：雷B 闇
1014012 [触媒：雷] 触媒：雷B 闇
1014013 [触媒：炎] 触媒：雷B 闇
1014014 [触媒：闇] 触媒：雷B 闇
1014015 [毒] 触媒：雷B 闇
1014016 [出血] 触媒：雷B 闇
1014017 [粗製] 触媒：雷B 闇
1014018 [魔力] 触媒：雷B 闇
1014019 [深淵] 触媒：雷B 闇
1014020 [無強化] 触媒：雷B 闇
1014021 [触媒：魔法] 触媒：雷B 闇
1014022 [触媒：雷] 触媒：雷B 闇
1014023 [触媒：炎] 触媒：雷B 闇
1014024 [触媒：闇] 触媒：雷B 闇
1014025 [毒] 触媒：雷B 闇
1014026 [出血] 触媒：雷B 闇
1014027 [粗製] 触媒：雷B 闇
1014028 [魔力] 触媒：雷B 闇
1014029 [深淵] 触媒：雷B 闇
1014030 [無強化] クレリックの中盾B：雷B 闇
1014031 [初属D：魔法] クレリックの中盾B：雷B 闇
1014032 [初属D：雷] クレリックの中盾B：雷B 闇
1014033 [初属D：炎] クレリックの中盾B：雷B 闇
1014034 [初属D：闇] クレリックの中盾B：雷B 闇
1014035 [初属D：毒] クレリックの中盾B：雷B 闇
1014036 [初属D：出血] クレリックの中盾B：雷B 闇
1014037 [初属D：粗製] クレリックの中盾B：雷B 闇
1014038 [初属D：魔力] クレリックの中盾B：雷B 闇
1014039 [初属D：深淵] クレリックの中盾B：雷B 闇
1015000 [無強化] 触媒：雷C 闇
1015001 [触媒：魔法] 触媒：雷C 闇
1015002 [触媒：雷] 触媒：雷C 闇
1015003 [触媒：炎] 触媒：雷C 闇
1015004 [触媒：闇] 触媒：雷C 闇
1015005 [毒] 触媒：雷C 闇
1015006 [出血] 触媒：雷C 闇
1015007 [粗製] 触媒：雷C 闇
1015008 [魔力] 触媒：雷C 闇
1015009 [深淵] 触媒：雷C 闇
1016000 [無強化] 触媒：雷D 闇
1016001 [触媒：魔法] 触媒：雷D 闇
1016002 [触媒：雷] 触媒：雷D 闇
1016003 [触媒：炎] 触媒：雷D 闇
1016004 [触媒：闇] 触媒：雷D 闇
1016005 [毒] 触媒：雷D 闇
1016006 [出血] 触媒：雷D 闇
1016007 [粗製] 触媒：雷D 闇
1016008 [魔力] 触媒：雷D 闇
1016009 [深淵] 触媒：雷D 闇
1017000 [無強化] 触媒：雷- 闇
1017001 [触媒：魔法] 触媒：雷- 闇
1017002 [触媒：雷] 触媒：雷- 闇
1017003 [触媒：炎] 触媒：雷- 闇
1017004 [触媒：闇] 触媒：雷- 闇
1017005 [毒] 触媒：雷- 闇
1017006 [出血] 触媒：雷- 闇
1017007 [粗製] 触媒：雷- 闇
1017008 [魔力] 触媒：雷- 闇
1017009 [深淵] 触媒：雷- 闇
1018000 [無強化] 触媒：炎
1018001 [触媒：魔法] 触媒：炎
1018002 [触媒：雷] 触媒：炎
1018003 [触媒：炎] 触媒：炎
1018004 [触媒：闇] 触媒：炎
1018005 [毒] 触媒：炎
1018006 [出血] 触媒：炎
1018007 [粗製] 触媒：炎
1018008 [魔力] 触媒：炎
1018009 [深淵] 触媒：炎
1019000 [無強化] 触媒：炎
1019001 [触媒：魔法] 触媒：炎
1019002 [触媒：雷] 触媒：炎
1019003 [触媒：炎] 触媒：炎
1019004 [触媒：闇] 触媒：炎
1019005 [毒] 触媒：炎
1019006 [出血] 触媒：炎
1019007 [粗製] 触媒：炎
1019008 [魔力] 触媒：炎
1019009 [深淵] 触媒：炎
1020000 [無強化] スペル四天王（呪術）の中盾：炎
1020001 [初属C：魔法] スペル四天王（呪術）の中盾：炎
1020002 [初属C：雷] スペル四天王（呪術）の中盾：炎
1020003 [初属C：炎] スペル四天王（呪術）の中盾：炎
1020004 [初属C：闇] スペル四天王（呪術）の中盾：炎
1020005 [初属C：毒] スペル四天王（呪術）の中盾：炎
1020006 [初属C：出血] スペル四天王（呪術）の中盾：炎
1020007 [初属C：粗製] スペル四天王（呪術）の中盾：炎
1020008 [初属C：魔力] スペル四天王（呪術）の中盾：炎
1020009 [初属C：深淵] スペル四天王（呪術）の中盾：炎
1101000 [無強化] 特大：筋力A 技量
1101001 [魔法] 特大：筋力A 技量
1101002 [雷] 特大：筋力A 技量
1101003 [炎] 特大：筋力A 技量
1101004 [闇] 特大：筋力A 技量
1101005 [毒] 特大：筋力A 技量
1101006 [出血] 特大：筋力A 技量
1101007 [粗製] 特大：筋力A 技量
1101008 [魔力] 特大：筋力A 技量
1101009 [深淵] 特大：筋力A 技量
1101020 [無強化] 特大：筋力A 技量
1101021 [魔法] 特大：筋力A 技量
1101022 [雷] 特大：筋力A 技量
1101023 [炎] 特大：筋力A 技量
1101024 [闇] 特大：筋力A 技量
1101025 [毒] 特大：筋力A 技量
1101026 [出血] 特大：筋力A 技量
1101027 [粗製] 特大：筋力A 技量
1101028 [魔力] 特大：筋力A 技量
1101029 [深淵] 特大：筋力A 技量
1102000 [無強化] 特大：筋力B 技量
1102001 [魔法] 特大：筋力B 技量
1102002 [雷] 特大：筋力B 技量
1102003 [炎] 特大：筋力B 技量
1102004 [闇] 特大：筋力B 技量
1102005 [毒] 特大：筋力B 技量
1102006 [出血] 特大：筋力B 技量
1102007 [粗製] 特大：筋力B 技量
1102008 [魔力] 特大：筋力B 技量
1102009 [深淵] 特大：筋力B 技量
1102020 [無強化] 特大：筋力B 技量
1102021 [魔法] 特大：筋力B 技量
1102022 [雷] 特大：筋力B 技量
1102023 [炎] 特大：筋力B 技量
1102024 [闇] 特大：筋力B 技量
1102025 [毒] 特大：筋力B 技量
1102026 [出血] 特大：筋力B 技量
1102027 [粗製] 特大：筋力B 技量
1102028 [魔力] 特大：筋力B 技量
1102029 [深淵] 特大：筋力B 技量
1102040 [無強化] 特大：筋力B 技量
1102041 [魔法] 特大：筋力B 技量
1102042 [雷] 特大：筋力B 技量
1102043 [炎] 特大：筋力B 技量
1102044 [闇] 特大：筋力B 技量
1102045 [毒] 特大：筋力B 技量
1102046 [出血] 特大：筋力B 技量
1102047 [粗製] 特大：筋力B 技量
1102048 [魔力] 特大：筋力B 技量
1102049 [深淵] 特大：筋力B 技量
1103000 [無強化] 特大：筋力C 技量
1103001 [魔法] 特大：筋力C 技量
1103002 [雷] 特大：筋力C 技量
1103003 [炎] 特大：筋力C 技量
1103004 [闇] 特大：筋力C 技量
1103005 [毒] 特大：筋力C 技量
1103006 [出血] 特大：筋力C 技量
1103007 [粗製] 特大：筋力C 技量
1103008 [魔力] 特大：筋力C 技量
1103009 [深淵] 特大：筋力C 技量
1103030 [無強化] 刀：筋力C 技量
1103031 [魔法] 刀：筋力C 技量
1103032 [雷] 刀：筋力C 技量
1103033 [炎] 刀：筋力C 技量
1103034 [闇] 刀：筋力C 技量
1103035 [毒] 刀：筋力C 技量
1103036 [出血] 刀：筋力C 技量
1103037 [粗製] 刀：筋力C 技量
1103038 [魔力] 刀：筋力C 技量
1103039 [深淵] 刀：筋力C 技量
1103050 [無強化] 刺剣：筋力C 技量
1103051 [魔法] 刺剣：筋力C 技量
1103052 [雷] 刺剣：筋力C 技量
1103053 [炎] 刺剣：筋力C 技量
1103054 [闇] 刺剣：筋力C 技量
1103055 [毒] 刺剣：筋力C 技量
1103056 [出血] 刺剣：筋力C 技量
1103057 [粗製] 刺剣：筋力C 技量
1103058 [魔力] 刺剣：筋力C 技量
1103059 [深淵] 刺剣：筋力C 技量
1103090 [無強化] 特大：筋力C 技量
1103091 [魔法] 特大：筋力C 技量
1103092 [雷] 特大：筋力C 技量
1103093 [炎] 特大：筋力C 技量
1103094 [闇] 特大：筋力C 技量
1103095 [毒] 特大：筋力C 技量
1103096 [出血] 特大：筋力C 技量
1103097 [粗製] 特大：筋力C 技量
1103098 [魔力] 特大：筋力C 技量
1103099 [深淵] 特大：筋力C 技量
1103100 [無強化] 特大：筋力C 技量
1103101 [魔法] 特大：筋力C 技量
1103102 [雷] 特大：筋力C 技量
1103103 [炎] 特大：筋力C 技量
1103104 [闇] 特大：筋力C 技量
1103105 [毒] 特大：筋力C 技量
1103106 [出血] 特大：筋力C 技量
1103107 [粗製] 特大：筋力C 技量
1103108 [魔力] 特大：筋力C 技量
1103109 [深淵] 特大：筋力C 技量
1104000 [無強化] 特大：筋力D 技量
1104001 [魔法] 特大：筋力D 技量
1104002 [雷] 特大：筋力D 技量
1104003 [炎] 特大：筋力D 技量
1104004 [闇] 特大：筋力D 技量
1104005 [毒] 特大：筋力D 技量
1104006 [出血] 特大：筋力D 技量
1104007 [粗製] 特大：筋力D 技量
1104008 [魔力] 特大：筋力D 技量
1104009 [深淵] 特大：筋力D 技量
1104020 [無強化] 刀：筋力D 技量
1104021 [魔法] 刀：筋力D 技量
1104022 [雷] 刀：筋力D 技量
1104023 [炎] 刀：筋力D 技量
1104024 [闇] 刀：筋力D 技量
1104025 [毒] 刀：筋力D 技量
1104026 [出血] 刀：筋力D 技量
1104027 [粗製] 刀：筋力D 技量
1104028 [魔力] 刀：筋力D 技量
1104029 [深淵] 刀：筋力D 技量
1104030 [無強化] 特大：筋力D 技量
1104031 [魔法] 特大：筋力D 技量
1104032 [雷] 特大：筋力D 技量
1104033 [炎] 特大：筋力D 技量
1104034 [闇] 特大：筋力D 技量
1104035 [毒] 特大：筋力D 技量
1104036 [出血] 特大：筋力D 技量
1104037 [粗製] 特大：筋力D 技量
1104038 [魔力] 特大：筋力D 技量
1104039 [深淵] 特大：筋力D 技量
1104050 [無強化] 特大：筋力D 技量
1104051 [魔法] 特大：筋力D 技量
1104052 [雷] 特大：筋力D 技量
1104053 [炎] 特大：筋力D 技量
1104054 [闇] 特大：筋力D 技量
1104055 [毒] 特大：筋力D 技量
1104056 [出血] 特大：筋力D 技量
1104057 [粗製] 特大：筋力D 技量
1104058 [魔力] 特大：筋力D 技量
1104059 [深淵] 特大：筋力D 技量
1105030 [無強化] 刀：筋力E 技量
1105031 [魔法] 刀：筋力E 技量
1105032 [雷] 刀：筋力E 技量
1105033 [炎] 刀：筋力E 技量
1105034 [闇] 刀：筋力E 技量
1105035 [毒] 刀：筋力E 技量
1105036 [出血] 刀：筋力E 技量
1105037 [粗製] 刀：筋力E 技量
1105038 [魔力] 刀：筋力E 技量
1105039 [深淵] 刀：筋力E 技量
1106010 [無強化] 刀：筋力- 技量
1106011 [魔法] 刀：筋力- 技量
1106012 [雷] 刀：筋力- 技量
1106013 [炎] 刀：筋力- 技量
1106014 [闇] 刀：筋力- 技量
1106015 [毒] 刀：筋力- 技量
1106016 [出血] 刀：筋力- 技量
1106017 [粗製] 刀：筋力- 技量
1106018 [魔力] 刀：筋力- 技量
1106019 [深淵] 刀：筋力- 技量
1106020 [無強化] 刀：筋力- 技量
1106021 [魔法] 刀：筋力- 技量
1106022 [雷] 刀：筋力- 技量
1106023 [炎] 刀：筋力- 技量
1106024 [闇] 刀：筋力- 技量
1106025 [毒] 刀：筋力- 技量
1106026 [出血] 刀：筋力- 技量
1106027 [粗製] 刀：筋力- 技量
1106028 [魔力] 刀：筋力- 技量
1106029 [深淵] 刀：筋力- 技量
1106030 [無強化] 刀：筋力- 技量
1106031 [魔法] 刀：筋力- 技量
1106032 [雷] 刀：筋力- 技量
1106033 [炎] 刀：筋力- 技量
1106034 [闇] 刀：筋力- 技量
1106035 [毒] 刀：筋力- 技量
1106036 [出血] 刀：筋力- 技量
1106037 [粗製] 刀：筋力- 技量
1106038 [魔力] 刀：筋力- 技量
1106039 [深淵] 刀：筋力- 技量
1203050 [無強化] 特大：筋力C 技量
1203051 [魔法] 特大：筋力C 技量
1203052 [雷] 特大：筋力C 技量
1203053 [炎] 特大：筋力C 技量
1203054 [闇] 特大：筋力C 技量
1203055 [毒] 特大：筋力C 技量
1203056 [出血] 特大：筋力C 技量
1203057 [粗製] 特大：筋力C 技量
1203058 [魔力] 特大：筋力C 技量
1203059 [深淵] 特大：筋力C 技量
1204040 [無強化] 特大：筋力D 技量
1204041 [魔法] 特大：筋力D 技量
1204042 [雷] 特大：筋力D 技量
1204043 [炎] 特大：筋力D 技量
1204044 [闇] 特大：筋力D 技量
1204045 [毒] 特大：筋力D 技量
1204046 [出血] 特大：筋力D 技量
1204047 [粗製] 特大：筋力D 技量
1204048 [魔力] 特大：筋力D 技量
1204049 [深淵] 特大：筋力D 技量
2000000 [無強化] 初期属性：ステータス影響なし
2000001 [初属C：魔法] 初期属性：ステータス影響なし
2000002 [初属C：雷] 初期属性：ステータス影響なし
2000003 [初属C：炎] 初期属性：ステータス影響なし
2000004 [初属C：闇] 初期属性：ステータス影響なし
2000005 [初属C：毒] 初期属性：ステータス影響なし
2000006 [初属C：出血] 初期属性：ステータス影響なし
2000007 [初属C：粗製] 初期属性：ステータス影響なし
2000008 [初属C：魔力] 初期属性：ステータス影響なし
2000009 [初属C：深淵] 初期属性：ステータス影響なし
2002030 [無強化] 初期属性：筋力B 技量
2002031 [初属B：魔法] 初期属性：筋力B 技量
2002032 [初属B：雷] 初期属性：筋力B 技量
2002033 [初属B：炎] 初期属性：筋力B 技量
2002034 [初属B：闇] 初期属性：筋力B 技量
2002035 [初属B：毒] 初期属性：筋力B 技量
2002036 [初属B：出血] 初期属性：筋力B 技量
2002037 [初属B：粗製] 初期属性：筋力B 技量
2002038 [初属B：魔力] 初期属性：筋力B 技量
2002039 [初属B：深淵] 初期属性：筋力B 技量
2002040 [無強化] 初期属性：筋力B 技量
2002041 [初属B：魔法] 初期属性：筋力B 技量
2002042 [初属B：雷] 初期属性：筋力B 技量
2002043 [初属B：炎] 初期属性：筋力B 技量
2002044 [初属B：闇] 初期属性：筋力B 技量
2002045 [初属B：毒] 初期属性：筋力B 技量
2002046 [初属B：出血] 初期属性：筋力B 技量
2002047 [初属B：粗製] 初期属性：筋力B 技量
2002048 [初属B：魔力] 初期属性：筋力B 技量
2002049 [初属B：深淵] 初期属性：筋力B 技量
2003000 [無強化] 初期属性：筋力C 技量
2003001 [初属B：魔法] 初期属性：筋力C 技量
2003002 [初属B：雷] 初期属性：筋力C 技量
2003003 [初属B：炎] 初期属性：筋力C 技量
2003004 [初属B：闇] 初期属性：筋力C 技量
2003005 [初属B：毒] 初期属性：筋力C 技量
2003006 [初属B：出血] 初期属性：筋力C 技量
2003007 [初属B：粗製] 初期属性：筋力C 技量
2003008 [初属B：魔力] 初期属性：筋力C 技量
2003009 [初属B：深淵] 初期属性：筋力C 技量
2003020 [無強化] 初期属性：筋力C 技量
2003021 [初属B：魔法] 初期属性：筋力C 技量
2003022 [初属B：雷] 初期属性：筋力C 技量
2003023 [初属B：炎] 初期属性：筋力C 技量
2003024 [初属B：闇] 初期属性：筋力C 技量
2003025 [初属B：毒] 初期属性：筋力C 技量
2003026 [初属B：出血] 初期属性：筋力C 技量
2003027 [初属B：粗製] 初期属性：筋力C 技量
2003028 [初属B：魔力] 初期属性：筋力C 技量
2003029 [初属B：深淵] 初期属性：筋力C 技量
2003030 [無強化] 初期属性：筋力C 技量
2003031 [初属B：魔法] 初期属性：筋力C 技量
2003032 [初属B：雷] 初期属性：筋力C 技量
2003033 [初属B：炎] 初期属性：筋力C 技量
2003034 [初属B：闇] 初期属性：筋力C 技量
2003035 [初属B：毒] 初期属性：筋力C 技量
2003036 [初属B：出血] 初期属性：筋力C 技量
2003037 [初属B：粗製] 初期属性：筋力C 技量
2003038 [初属B：魔力] 初期属性：筋力C 技量
2003039 [初属B：深淵] 初期属性：筋力C 技量
2003050 [無強化] 初期属性：筋力C 技量
2003051 [初属B：魔法] 初期属性：筋力C 技量
2003052 [初属B：雷] 初期属性：筋力C 技量
2003053 [初属B：炎] 初期属性：筋力C 技量
2003054 [初属B：闇] 初期属性：筋力C 技量
2003055 [初属B：毒] 初期属性：筋力C 技量
2003056 [初属B：出血] 初期属性：筋力C 技量
2003057 [初属B：粗製] 初期属性：筋力C 技量
2003058 [初属B：魔力] 初期属性：筋力C 技量
2003059 [初属B：深淵] 初期属性：筋力C 技量
2003090 [無強化] 王国戦士の両手剣：筋力C 技量
2003091 [初属出血：魔法] 王国戦士の両手剣：筋力C 技量
2003092 [初属出血：雷] 王国戦士の両手剣：筋力C 技量
2003093 [初属出血：炎] 王国戦士の両手剣：筋力C 技量
2003094 [初属出血：闇] 王国戦士の両手剣：筋力C 技量
2003095 [初属出血：毒] 王国戦士の両手剣：筋力C 技量
2003096 [初属出血：出血] 王国戦士の両手剣：筋力C 技量
2003097 [初属出血：粗製] 王国戦士の両手剣：筋力C 技量
2003098 [初属出血：魔力] 王国戦士の両手剣：筋力C 技量
2003099 [初属出血：深淵] 王国戦士の両手剣：筋力C 技量
2003100 [無強化] 初期属性：筋力C 技量
2003101 [初属B：魔法] 初期属性：筋力C 技量
2003102 [初属B：雷] 初期属性：筋力C 技量
2003103 [初属B：炎] 初期属性：筋力C 技量
2003104 [初属B：闇] 初期属性：筋力C 技量
2003105 [初属B：毒] 初期属性：筋力C 技量
2003106 [初属B：出血] 初期属性：筋力C 技量
2003107 [初属B：粗製] 初期属性：筋力C 技量
2003108 [初属B：魔力] 初期属性：筋力C 技量
2003109 [初属B：深淵] 初期属性：筋力C 技量
2004000 [無強化] 初期属性：筋力D 技量
2004001 [初属出血：魔法] 初期属性：筋力D 技量
2004002 [初属出血：雷] 初期属性：筋力D 技量
2004003 [初属出血：炎] 初期属性：筋力D 技量
2004004 [初属出血：闇] 初期属性：筋力D 技量
2004005 [初属出血：毒] 初期属性：筋力D 技量
2004006 [初属出血：出血] 初期属性：筋力D 技量
2004007 [初属出血：粗製] 初期属性：筋力D 技量
2004008 [初属出血：魔力] 初期属性：筋力D 技量
2004009 [初属出血：深淵] 初期属性：筋力D 技量
2004020 [無強化] 初期属性：筋力D 技量
2004021 [初属B：魔法] 初期属性：筋力D 技量
2004022 [初属B：雷] 初期属性：筋力D 技量
2004023 [初属B：炎] 初期属性：筋力D 技量
2004024 [初属B：闇] 初期属性：筋力D 技量
2004025 [初属B：毒] 初期属性：筋力D 技量
2004026 [初属B：出血] 初期属性：筋力D 技量
2004027 [初属B：粗製] 初期属性：筋力D 技量
2004028 [初属B：魔力] 初期属性：筋力D 技量
2004029 [初属B：深淵] 初期属性：筋力D 技量
2004030 [無強化] 彷徨える騎士の槍：筋力D 技量
2004031 [初属B：魔法] 彷徨える騎士の槍：筋力D 技量
2004032 [初属B：雷] 彷徨える騎士の槍：筋力D 技量
2004033 [初属B：炎] 彷徨える騎士の槍：筋力D 技量
2004034 [初属B：闇] 彷徨える騎士の槍：筋力D 技量
2004035 [初属B：毒] 彷徨える騎士の槍：筋力D 技量
2004036 [初属B：出血] 彷徨える騎士の槍：筋力D 技量
2004037 [初属B：粗製] 彷徨える騎士の槍：筋力D 技量
2004038 [初属B：魔力] 彷徨える騎士の槍：筋力D 技量
2004039 [初属B：深淵] 彷徨える騎士の槍：筋力D 技量
2005000 [無強化] 初期属性：筋力E 技量
2005001 [初属B：魔法] 初期属性：筋力E 技量
2005002 [初属B：雷] 初期属性：筋力E 技量
2005003 [初属B：炎] 初期属性：筋力E 技量
2005004 [初属B：闇] 初期属性：筋力E 技量
2005005 [初属B：毒] 初期属性：筋力E 技量
2005006 [初属B：出血] 初期属性：筋力E 技量
2005007 [初属B：粗製] 初期属性：筋力E 技量
2005008 [初属B：魔力] 初期属性：筋力E 技量
2005009 [初属B：深淵] 初期属性：筋力E 技量
2005030 [無強化] 初期属性：筋力E 技量
2005031 [初属C：魔法] 初期属性：筋力E 技量
2005032 [初属C：雷] 初期属性：筋力E 技量
2005033 [初属C：炎] 初期属性：筋力E 技量
2005034 [初属C：闇] 初期属性：筋力E 技量
2005035 [初属C：毒] 初期属性：筋力E 技量
2005036 [初属C：出血] 初期属性：筋力E 技量
2005037 [初属C：粗製] 初期属性：筋力E 技量
2005038 [初属C：魔力] 初期属性：筋力E 技量
2005039 [初属C：深淵] 初期属性：筋力E 技量
2005040 [無強化] 初期属性：筋力E 技量
2005041 [初属B：魔法] 初期属性：筋力E 技量
2005042 [初属B：雷] 初期属性：筋力E 技量
2005043 [初属B：炎] 初期属性：筋力E 技量
2005044 [初属B：闇] 初期属性：筋力E 技量
2005045 [初属B：毒] 初期属性：筋力E 技量
2005046 [初属B：出血] 初期属性：筋力E 技量
2005047 [初属B：粗製] 初期属性：筋力E 技量
2005048 [初属B：魔力] 初期属性：筋力E 技量
